order_id,customer_id,restaurant_id,partner_id,order_date,order_amount,order_status
10001,Cust_283,Res_092,P_18,28-11-2024,284.6,Delivered
10002,Cust_805,Res_014,P_18,09-04-2024,596.62,Delivered
10003,Cust_037,Res_097,P_11,14-03-2025,409.57,Delivered
10004,Cust_210,Res_052,P_141,07-05-2021,935.79,Delivered
10005,Cust_288,Res_009,P_62,12-03-2023,425.14,Delivered
10006,Cust_477,Res_086,P_57,26-05-2025,1075.8,Refunded
10007,Cust_797,Res_083,P_75,11-03-2023,1086.41,Delivered
10008,Cust_535,Res_115,P_24,03-12-2025,356.26,Delivered
10009,Cust_722,Res_087,P_74,28-07-2021,794.54,Cancelled
10010,Cust_603,Res_044,P_129,18-01-2022,242.1,Delivered
10011,Cust_114,Res_106,P_26,14-02-2022,659.23,Refunded
10012,Cust_084,Res_009,P_36,22-06-2025,898.99,Cancelled
10013,Cust_630,Res_016,P_104,02-11-2023,842.39,Cancelled
10014,Cust_092,Res_089,P_95,24-07-2021,805.94,Delivered
10015,Cust_185,Res_094,P_116,11-09-2025,446.67,Delivered
10016,Cust_269,Res_116,P_130,25-02-2025,546.93,Delivered
10017,Cust_739,Res_042,P_37,13-10-2025,258.09,Refunded
10018,Cust_278,Res_026,P_137,21-02-2024,904.97,Delivered
10019,Cust_052,Res_103,P_40,22-02-2022,679.08,Delivered
10020,Cust_301,Res_120,P_40,14-01-2024,894.2,Delivered
10021,Cust_809,Res_118,P_111,12-11-2024,411.39,Delivered
10022,Cust_188,Res_031,P_101,28-11-2021,490.66,Delivered
10023,Cust_754,Res_081,P_76,10-08-2023,500.93,Delivered
10024,Cust_385,Res_047,P_101,28-05-2023,177.03,Delivered
10025,Cust_218,Res_036,P_140,25-03-2024,508.1,Delivered
10026,Cust_363,Res_115,P_122,26-04-2021,993.47,Refunded
10027,Cust_390,Res_017,P_68,08-10-2022,1092.16,Delivered
10028,Cust_568,Res_079,P_82,21-07-2025,694.13,Delivered
10029,Cust_742,Res_017,P_91,04-08-2022,628.28,Delivered
10030,Cust_323,Res_079,P_12,28-09-2022,182.37,Delivered
10031,Cust_183,Res_075,P_17,01-10-2023,1073.16,Delivered
10032,Cust_321,Res_072,P_34,22-10-2025,163.66,Cancelled
10033,Cust_809,Res_106,P_129,14-02-2025,1141.99,Delivered
10034,Cust_234,Res_029,P_28,09-03-2023,663.68,Delivered
10035,Cust_346,Res_008,P_14,07-07-2025,509.03,Delivered
10036,Cust_547,Res_094,P_149,08-09-2021,1120.43,Delivered
10037,Cust_048,Res_119,P_90,13-11-2024,175.61,Delivered
10038,Cust_230,Res_094,P_07,20-06-2024,760.5,Delivered
10039,Cust_443,Res_104,P_44,25-12-2022,726.38,Delivered
10040,Cust_674,Res_094,P_132,02-01-2025,380.29,Delivered
10041,Cust_312,Res_009,P_100,22-05-2022,600.33,Delivered
10042,Cust_009,Res_060,P_149,09-07-2024,834.88,Delivered
10043,Cust_258,Res_091,P_145,08-04-2023,913.49,Delivered
10044,Cust_758,Res_036,P_76,05-05-2022,150.75,Delivered
10045,Cust_537,Res_040,P_58,24-10-2024,1133.7,Cancelled
10046,Cust_454,Res_102,P_54,06-06-2023,322.75,Delivered
10047,Cust_328,Res_078,P_36,27-02-2022,395.26,Delivered
10048,Cust_664,Res_006,P_73,22-06-2023,426.65,Cancelled
10049,Cust_041,Res_001,P_26,08-03-2021,189.71,Delivered
10050,Cust_539,Res_024,P_140,17-08-2021,279.2,Delivered
10051,Cust_550,Res_048,P_141,24-02-2021,1185.67,Delivered
10052,Cust_380,Res_065,P_04,13-01-2024,480.98,Delivered
10053,Cust_136,Res_038,P_148,11-04-2021,271.07,Delivered
10054,Cust_749,Res_105,P_86,17-02-2023,262.34,Delivered
10055,Cust_123,Res_089,P_139,08-06-2021,905.43,Delivered
10056,Cust_199,Res_074,P_111,09-03-2021,1047.3,Delivered
10057,Cust_088,Res_007,P_74,23-05-2024,419.8,Refunded
10058,Cust_288,Res_042,P_06,21-04-2024,171.95,Delivered
10059,Cust_178,Res_055,P_50,01-04-2021,384.24,Delivered
10060,Cust_084,Res_007,P_72,13-01-2022,209.34,Cancelled
10061,Cust_222,Res_119,P_61,22-05-2023,258.56,Delivered
10062,Cust_218,Res_045,P_132,07-04-2023,603.08,Delivered
10063,Cust_170,Res_037,P_122,26-07-2022,391.41,Refunded
10064,Cust_440,Res_005,P_46,11-08-2025,691.74,Delivered
10065,Cust_449,Res_035,P_130,28-01-2025,416.17,Delivered
10066,Cust_552,Res_073,P_82,14-08-2025,1137.56,Delivered
10067,Cust_298,Res_029,P_122,23-01-2023,1101.24,Delivered
10068,Cust_387,Res_024,P_100,28-05-2021,745.15,Delivered
10069,Cust_510,Res_097,P_40,11-10-2025,522.15,Delivered
10070,Cust_594,Res_077,P_55,23-02-2022,550.2,Delivered
10071,Cust_467,Res_022,P_59,27-03-2021,582.44,Delivered
10072,Cust_713,Res_057,P_67,20-07-2022,913.96,Delivered
10073,Cust_006,Res_067,P_07,21-07-2022,624.22,Delivered
10074,Cust_386,Res_067,P_112,18-07-2022,1049.57,Delivered
10075,Cust_506,Res_014,P_49,28-07-2025,1141.3,Delivered
10076,Cust_709,Res_024,P_119,17-04-2024,502.74,Delivered
10077,Cust_162,Res_092,P_132,06-11-2024,738.73,Delivered
10078,Cust_156,Res_046,P_26,07-06-2024,249.81,Delivered
10079,Cust_502,Res_080,P_54,15-06-2022,360.49,Delivered
10080,Cust_304,Res_045,P_147,01-02-2022,584.14,Cancelled
10081,Cust_143,Res_002,P_40,02-07-2025,366.51,Delivered
10082,Cust_162,Res_042,P_85,21-10-2021,1070.39,Refunded
10083,Cust_317,Res_051,P_83,25-05-2021,316.2,Delivered
10084,Cust_205,Res_058,P_38,14-11-2024,628.44,Delivered
10085,Cust_806,Res_078,P_96,13-06-2021,785.98,Cancelled
10086,Cust_234,Res_037,P_58,12-02-2021,876.46,Delivered
10087,Cust_506,Res_021,P_118,25-01-2022,552.22,Delivered
10088,Cust_137,Res_033,P_139,08-02-2024,1062.55,Cancelled
10089,Cust_345,Res_101,P_83,24-03-2022,746.74,Cancelled
10090,Cust_317,Res_019,P_82,21-04-2025,611.48,Refunded
10091,Cust_296,Res_032,P_118,01-10-2021,220.6,Delivered
10092,Cust_414,Res_014,P_88,27-09-2025,637.92,Delivered
10093,Cust_534,Res_113,P_111,03-01-2024,1011.77,Delivered
10094,Cust_425,Res_072,P_117,26-05-2022,795.27,Delivered
