rating_id,order_id,restaurant_rating,delivery_rating,feedback
R_1,11130,5,1,Excellent
R_2,11037,4,3,Good
R_3,11170,1,5,Excellent
R_4,10478,2,1,Average
R_5,10631,1,5,Good
R_6,10715,5,1,No Feedback
R_7,11677,5,2,Excellent
R_8,10115,1,3,No Feedback
R_9,10509,4,1,Good
R_10,11176,4,4,Good
R_11,10057,2,1,Average
R_12,10382,2,2,Late delivery
R_13,11181,3,4,Good
R_14,10952,3,4,Excellent
R_15,11846,2,1,Average
R_16,11157,3,2,Average
R_17,11187,1,4,Late delivery
R_18,10275,4,3,Late delivery
R_19,11719,3,3,Good
R_20,11101,3,5,No Feedback
R_21,11861,1,5,Average
R_22,10044,5,2,Good
R_23,10718,2,4,Excellent
R_24,11574,1,3,No Feedback
R_25,10318,5,3,Excellent
R_26,10534,1,2,Excellent
R_27,11609,4,4,Late delivery
R_28,11777,1,2,No Feedback
R_29,11960,1,1,Good
R_30,11178,4,3,Excellent
R_31,10237,2,2,Late delivery
R_32,10893,5,2,Good
R_33,10517,3,1,Average
R_34,11245,2,5,Average
R_35,11334,1,3,Late delivery
R_36,11622,3,2,Good
R_37,11201,4,3,Excellent
R_38,11795,2,5,Good
R_39,11244,5,2,Average
R_40,10038,2,1,Excellent
R_41,10654,2,3,Late delivery
R_42,11455,3,1,Average
R_43,11934,4,5,Good
R_44,10747,4,5,Late delivery
R_45,11227,2,3,No Feedback
R_46,10841,4,5,No Feedback
R_47,11830,3,4,Excellent
R_48,10448,3,3,Good
R_49,11519,5,4,Good
R_50,10684,4,5,Good
R_51,10125,5,3,Average
R_52,11862,1,4,Good
R_53,11089,3,5,Good
R_54,10793,2,2,Late delivery
R_55,10784,3,2,Average
R_56,11268,1,1,Late delivery
R_57,11551,2,2,No Feedback
R_58,10226,4,4,Late delivery
R_59,10465,4,2,Excellent
R_60,10643,3,3,Excellent
R_61,11731,2,3,Average
R_62,10293,2,3,Good
R_63,10721,5,2,Good
R_64,11975,1,2,Good
R_65,11405,4,1,Late delivery
R_66,11649,3,5,No Feedback
R_67,10756,2,1,No Feedback
R_68,10166,4,4,Good
R_69,11727,3,3,No Feedback
R_70,10769,4,2,Average
R_71,11863,3,5,Excellent
R_72,11242,4,5,Good
R_73,11007,5,2,Good
R_74,10871,1,1,Average
R_75,11299,4,5,Excellent
R_76,11076,1,1,Good
R_77,11398,4,2,Good
R_78,11694,2,1,No Feedback
R_79,11387,5,3,No Feedback
R_80,10567,5,2,Good
R_81,11038,1,2,Excellent
R_82,11805,2,5,Average
